ID;OPERACAO;PAGTO;CLIENTE;DOCUMENTO;SACADO;DOCUMENTO;UA;PRODUTO;SIGLA;NUMERO;CADASTRO;EMISSAO;VENCIMENTO;VENCIMENTO EFETIVO;VENCIDO;SITUACAO;DATA SITUACAO;MANIFESTO;DATA MANIFESTO;VALOR NOMINAL;DESCONTO ABATIMENTO;VALOR LIQUIDO;VALOR PAGO;SALDO DEVEDOR;OSCILACAO;TAXA;DESAGIO;CUSTO;RECEITA;TARIFAS OPERACAO;PRAZO REAL;PRAZO COBRADO;GERENTE;SUPERINTENDENTE;BANCO COBRADOR
16077;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="219676";11/02/2022;11/02/2022;06/04/2022;06/04/2022;Nao;Liquidado Normalmente;06/04/2022;Sem Atuacao;11/02/2022;17.840,32;0,00;17.840,32;17.840,32;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;54,00;54,00;;;341/2980/336990;
16078;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="219675";11/02/2022;11/02/2022;06/04/2022;06/04/2022;Nao;Liquidado Normalmente;06/04/2022;Sem Atuacao;11/02/2022;17.840,32;0,00;17.840,32;17.840,32;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;54,00;54,00;;;341/2980/336990;
16079;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="219682";11/02/2022;11/02/2022;06/04/2022;06/04/2022;Nao;Liquidado Normalmente;06/04/2022;Sem Atuacao;11/02/2022;10.650,25;0,00;10.650,25;10.650,25;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;54,00;54,00;;;341/2980/336990;
16080;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="219681";11/02/2022;11/02/2022;06/04/2022;06/04/2022;Nao;Liquidado Normalmente;06/04/2022;Sem Atuacao;11/02/2022;10.650,25;0,00;10.650,25;10.650,25;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;54,00;54,00;;;341/2980/336990;
16081;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="219680";11/02/2022;11/02/2022;06/04/2022;06/04/2022;Nao;Liquidado Normalmente;06/04/2022;Sem Atuacao;11/02/2022;15.296,60;0,00;15.296,60;15.296,60;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;54,00;54,00;;;341/2980/336990;
16082;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="219679";11/02/2022;11/02/2022;06/04/2022;06/04/2022;Nao;Liquidado Normalmente;06/04/2022;Sem Atuacao;11/02/2022;19.769,75;0,00;19.769,75;19.769,75;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;54,00;54,00;;;341/2980/336990;
16083;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="219678";11/02/2022;11/02/2022;06/04/2022;06/04/2022;Nao;Liquidado Normalmente;06/04/2022;Sem Atuacao;11/02/2022;17.840,32;0,00;17.840,32;17.840,32;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;54,00;54,00;;;341/2980/336990;
16084;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="219677";11/02/2022;11/02/2022;06/04/2022;06/04/2022;Nao;Liquidado Normalmente;06/04/2022;Sem Atuacao;11/02/2022;17.840,32;0,00;17.840,32;17.840,32;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;54,00;54,00;;;341/2980/336990;
16085;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="219688";11/02/2022;11/02/2022;06/04/2022;06/04/2022;Nao;Liquidado Normalmente;06/04/2022;Sem Atuacao;11/02/2022;17.389,60;0,00;17.389,60;17.389,60;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;54,00;54,00;;;341/2980/336990;
16086;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="219687";11/02/2022;11/02/2022;06/04/2022;06/04/2022;Nao;Liquidado Normalmente;06/04/2022;Sem Atuacao;11/02/2022;17.389,60;0,00;17.389,60;17.389,60;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;54,00;54,00;;;341/2980/336990;
